"alert__week","alert__year","alert__count","confidence__cat"
53,2020,30,"h"
52,2020,1249,"n"
52,2020,3,"l"
52,2020,17,"h"
51,2020,1290,"n"
51,2020,10,"l"
51,2020,45,"h"
50,2020,31,"h"
50,2020,5,"l"
50,2020,1263,"n"
49,2020,1403,"n"
49,2020,9,"l"
49,2020,36,"h"
48,2020,40,"h"
48,2020,1266,"n"
48,2020,11,"l"
47,2020,1606,"n"
47,2020,13,"l"
47,2020,54,"h"
46,2020,46,"h"
46,2020,36,"l"
46,2020,1507,"n"
45,2020,1587,"n"
45,2020,20,"l"
45,2020,33,"h"
44,2020,75,"h"
44,2020,2277,"n"
44,2020,67,"l"
43,2020,61,"l"
43,2020,2084,"n"
43,2020,42,"h"
42,2020,93,"l"
42,2020,1640,"n"
42,2020,15,"h"
41,2020,62,"h"
41,2020,127,"l"
41,2020,1998,"n"
40,2020,1982,"n"
40,2020,52,"h"
40,2020,178,"l"
39,2020,1981,"n"
39,2020,71,"h"
39,2020,207,"l"
38,2020,260,"l"
38,2020,73,"h"
38,2020,2178,"n"
37,2020,58,"h"
37,2020,158,"l"
37,2020,1810,"n"
36,2020,127,"l"
36,2020,29,"h"
36,2020,1377,"n"
35,2020,397,"l"
35,2020,519,"h"
35,2020,3030,"n"
34,2020,125,"h"
34,2020,399,"l"
34,2020,2158,"n"
33,2020,2579,"n"
33,2020,165,"h"
33,2020,338,"l"
32,2020,199,"h"
32,2020,338,"l"
32,2020,2321,"n"
31,2020,672,"l"
31,2020,3732,"n"
31,2020,497,"h"
30,2020,248,"l"
30,2020,2016,"n"
30,2020,131,"h"
29,2020,147,"l"
29,2020,1458,"n"
29,2020,53,"h"
28,2020,160,"h"
28,2020,2075,"n"
28,2020,337,"l"
27,2020,192,"h"
27,2020,1865,"n"
27,2020,230,"l"
26,2020,1484,"n"
26,2020,173,"l"
26,2020,44,"h"
25,2020,1789,"n"
25,2020,268,"l"
25,2020,76,"h"
24,2020,1269,"n"
24,2020,24,"h"
24,2020,93,"l"
23,2020,110,"l"
23,2020,53,"h"
23,2020,1328,"n"
22,2020,53,"l"
22,2020,1282,"n"
22,2020,16,"h"
21,2020,1445,"n"
21,2020,110,"l"
21,2020,54,"h"
20,2020,14,"h"
20,2020,101,"l"
20,2020,1053,"n"
19,2020,25,"h"
19,2020,127,"l"
19,2020,1374,"n"
18,2020,43,"h"
18,2020,199,"l"
18,2020,1863,"n"
17,2020,132,"l"
17,2020,1666,"n"
17,2020,40,"h"
16,2020,1192,"n"
16,2020,60,"l"
16,2020,23,"h"
15,2020,172,"l"
15,2020,56,"h"
15,2020,1780,"n"
14,2020,36,"h"
14,2020,1599,"n"
14,2020,150,"l"
