date,target
2020-07-14 10:02:03,527
2020-07-15 10:02:03,554
2020-07-16 10:02:03,585
2020-07-17 10:02:03,593
2020-07-18 10:02:03,601
2020-07-19 10:02:03,535
2020-07-20 10:02:03,607
2020-07-21 10:02:03,587
2020-07-22 10:02:03,594
2020-07-23 10:02:03,612
2020-07-24 10:02:03,675
2020-07-25 10:02:03,605
2020-07-26 10:02:03,593
2020-07-27 10:02:03,616
2020-07-28 10:02:03,642
2020-07-29 10:02:03,614
2020-07-30 10:02:03,602
2020-07-31 10:02:03,563
2020-08-01 10:02:03,556
2020-08-02 10:02:03,515
2020-08-03 10:02:03,507
2020-08-04 10:02:03,532
2020-08-05 10:02:03,551
2020-08-06 10:02:03,571
2020-08-07 10:02:03,529
2020-08-08 10:02:03,538
2020-08-09 10:02:03,467
2020-08-10 10:02:03,552
2020-08-11 10:02:03,492
2020-08-12 10:02:03,495
2020-08-13 10:02:03,488
2020-08-14 10:02:03,477
2020-08-15 10:02:03,469
2020-08-16 10:02:03,450
2020-08-17 10:02:03,442
2020-08-18 10:02:03,419
2020-08-19 10:02:03,403
2020-08-20 10:02:03,411
2020-08-21 10:02:03,409
2020-08-22 10:02:03,401
2020-08-23 10:02:03,392
2020-08-24 10:02:03,398
2020-08-25 10:02:03,370
2020-08-26 10:02:03,391
2020-08-27 10:02:03,397
2020-08-28 10:02:03,387
2020-08-29 10:02:03,378
2020-08-30 10:02:03,365
2020-08-31 10:02:03,348
2020-09-01 10:02:03,339
2020-09-02 10:02:03,325
2020-09-03 10:02:03,311
2020-09-04 10:02:03,304
2020-09-05 10:02:03,298
2020-09-06 10:02:03,293
2020-09-07 10:02:03,289
2020-09-08 10:02:03,285
2020-09-09 10:02:03,278
2020-09-10 10:02:03,272
2020-09-11 10:02:03,264
2020-09-12 10:02:03,255
2020-09-13 10:02:03,247
2020-09-14 10:02:03,242
2020-09-15 10:02:03,238
2020-09-16 10:02:03,232
2020-09-17 10:02:03,228
2020-09-18 10:02:03,219
2020-09-19 10:02:03,210
2020-09-20 10:02:03,203
2020-09-21 10:02:03,197
2020-09-22 10:02:03,191
2020-09-23 10:02:03,186
2020-09-24 10:02:03,179
2020-09-25 10:02:03,175
2020-09-26 10:02:03,160
2020-09-27 10:02:03,153
2020-09-28 10:02:03,146
2020-09-29 10:02:03,155
2020-09-30 10:02:03,162
2020-10-01 10:02:03,160
2020-10-02 10:02:03,157
2020-10-03 10:02:03,148
2020-10-04 10:02:03,141
2020-10-05 10:02:03,134
2020-10-06 10:02:03,129
2020-10-07 10:02:03,121
2020-10-08 10:02:03,138
2020-10-09 10:02:03,146
2020-10-10 10:02:03,136
2020-10-11 10:02:03,132
2020-10-12 10:02:03,253
2020-10-13 10:02:03,74
2020-10-14 10:02:03,185
2020-10-15 10:02:03,193
2020-10-16 10:02:03,221
2020-10-17 10:02:03,205
2020-10-18 10:02:03,199
2020-10-19 10:02:03,214
2020-10-20 10:02:03,213
2020-10-21 10:02:03,252
2020-10-22 10:02:03,276
2020-10-23 10:02:03,273
2020-10-24 10:02:03,250
2020-10-25 10:02:03,263
2020-10-26 10:02:03,276
2020-10-27 10:02:03,287
2020-10-28 10:02:03,320
2020-10-29 10:02:03,306
2020-10-30 10:02:03,319
2020-10-31 10:02:03,291
2020-11-01 10:02:03,330
2020-11-02 10:02:03,302
2020-11-03 10:02:03,405
2020-11-04 10:02:03,548
2020-11-05 10:02:03,642
2020-11-06 10:02:03,631
2020-11-07 10:02:03,581
2020-11-08 10:02:03,670
2020-11-09 10:02:03,642
2020-11-10 10:02:03,753
2020-11-11 10:02:03,811
2020-11-12 10:02:03,851
2020-11-13 10:02:03,867
2020-11-14 10:02:03,844
2020-11-15 10:02:03,860
2020-11-16 10:02:03,910
2020-11-17 10:02:03,1002
2020-11-18 10:02:03,1038
2020-11-19 10:02:03,1023
2020-11-20 10:02:03,1103
2020-11-21 10:02:03,1019
2020-11-22 10:02:03,1088
2020-11-23 10:02:03,1005
2020-11-24 10:02:03,1133
2020-11-25 10:02:03,1025
2020-11-26 10:02:03,1085
2020-11-27 10:02:03,1058
2020-11-28 10:02:03,1044
2020-11-29 10:02:03,1009
2020-11-30 10:02:03,978
2020-12-01 10:02:03,953
2020-12-02 10:02:03,932
2020-12-03 10:02:03,843
2020-12-04 10:02:03,803
2020-12-05 10:02:03,772
2020-12-06 10:02:03,750
2020-12-07 10:02:03,573
2020-12-08 10:02:03,591
2020-12-09 10:02:03,598
2020-12-10 10:02:03,565
2020-12-11 10:02:03,542
2020-12-12 10:02:03,517
2020-12-13 10:02:03,464
2020-12-14 10:02:03,495
2020-12-15 10:02:03,468
2020-12-16 10:02:03,442
2020-12-17 10:02:03,426
2020-12-18 10:02:03,438
2020-12-19 10:02:03,410
2020-12-20 10:02:03,422
2020-12-21 10:02:03,456
2020-12-22 10:02:03,410
2020-12-23 10:02:03,480
2020-12-24 10:02:03,458
2020-12-25 10:02:03,434
2020-12-26 10:02:03,416
2020-12-27 10:02:03,392
2020-12-28 10:02:03,382
2020-12-29 10:02:03,357
2020-12-30 10:02:03,323
2020-12-31 10:02:03,299
2021-01-01 10:02:03,287
2021-01-02 10:02:03,262
2021-01-03 10:02:03,249
2021-01-04 10:02:03,237
2021-01-05 10:02:03,228
2021-01-06 10:02:03,247
2021-01-07 10:02:03,262
2021-01-08 10:02:03,275
2021-01-09 10:02:03,256
2021-01-10 10:02:03,231
2021-01-11 10:02:03,225
2021-01-12 10:02:03,272
2021-01-13 10:02:03,219
2021-01-14 10:02:03,267
2021-01-15 10:02:03,254
2021-01-16 10:02:03,230
2021-01-17 10:02:03,222
2021-01-18 10:02:03,259
2021-01-19 10:02:03,249
2021-01-20 10:02:03,265
2021-01-21 10:02:03,246
2021-01-22 10:02:03,272
2021-01-23 10:02:03,245
2021-01-24 10:02:03,227
2021-01-25 10:02:03,258
2021-01-26 10:02:03,243
2021-01-27 10:02:03,262
2021-01-28 10:02:03,251
2021-01-29 10:02:03,277
2021-01-30 10:02:03,235
2021-01-31 10:02:03,217
2021-02-01 10:02:03,239
2021-02-02 10:02:03,263
2021-02-03 10:02:03,275
2021-02-04 10:02:03,265
2021-02-05 10:02:03,248
2021-02-06 10:02:03,0
2021-02-07 10:02:03,459
2021-02-08 10:02:03,225
2021-02-09 10:02:03,246
2021-02-10 10:02:03,223
2021-02-11 10:02:03,267
2021-02-12 10:02:03,254
2021-02-13 10:02:03,210
2021-02-14 10:02:03,198
2021-02-15 10:02:03,183
2021-02-16 10:02:03,175
2021-02-17 10:02:03,178
2021-02-18 10:02:03,171
2021-02-19 10:02:03,182
2021-02-20 10:02:03,164
2021-02-21 10:02:03,153
2021-02-22 10:02:03,177
2021-02-23 10:02:03,185
2021-02-24 10:02:03,182
2021-02-25 10:02:03,161
2021-02-26 10:02:03,183
2021-02-27 10:02:03,155
2021-02-28 10:02:03,132
2021-03-01 10:02:03,163
2021-03-02 10:02:03,175
2021-03-03 10:02:03,163
2021-03-04 10:02:03,168
2021-03-05 10:02:03,187
2021-03-06 10:02:03,156
2021-03-07 10:02:03,130
2021-03-08 10:02:03,148
2021-03-09 10:02:03,161
2021-03-10 10:02:03,138
2021-03-11 10:02:03,170
2021-03-12 10:02:03,157
2021-03-13 10:02:03,135
2021-03-14 10:02:03,122
2021-03-15 10:02:03,145
2021-03-16 10:02:03,130
2021-03-17 10:02:03,148
2021-03-18 10:02:03,154
2021-03-19 10:02:03,128
2021-03-20 10:02:03,96
